query_id,query_text,intended_category,semantic_intent,created_at
query_000001,NeonFit women's dresses review,Clothing,Looking for reviews of NeonFit Women's Dresses,2026-03-04T00:23:14.681159+00:00
query_000002,best smartphones,Electronics,Browse top-rated Smartphones in Electronics,2026-03-29T00:12:12.547429+00:00
query_000003,PureComfort Activewear,Clothing,Exact search for Activewear by PureComfort in Clothing,2026-01-29T04:51:49.289749+00:00
query_000004,BrainBoost Outdoor Toys,Toys & Games,Exact search for Outdoor Toys by BrainBoost in Toys & Games,2026-01-20T05:06:58.954142+00:00
query_000005,affordable cameras for everyday use,Electronics,I need budget-friendly Cameras from Electronics,2026-03-04T20:07:56.853695+00:00
query_000006,PureBloom skincare review,Beauty & Personal Care,Looking for reviews of PureBloom Skincare,2026-02-22T23:32:41.906329+00:00
query_000007,PureBite Baking,Grocery & Gourmet Food,Exact search for Baking by PureBite in Grocery & Gourmet Food,2026-02-21T13:52:36.891353+00:00
query_000008,BrainBoost Puzzles,Toys & Games,Exact search for Puzzles by BrainBoost in Toys & Games,2026-02-13T14:28:24.540862+00:00
query_000009,DriveSafe Oils & Fluids,Automotive,Exact search for Oils & Fluids by DriveSafe in Automotive,2026-03-17T11:59:52.795191+00:00
query_000010,affordable tires for everyday use,Automotive,I need budget-friendly Tires from Automotive,2026-02-18T20:02:35.901261+00:00
query_000011,affordable oils & fluids for everyday use,Automotive,I need budget-friendly Oils & Fluids from Automotive,2026-03-08T16:01:21.647825+00:00
query_000012,TrailMaster Cycling,Sports & Outdoors,Exact search for Cycling by TrailMaster in Sports & Outdoors,2026-01-01T21:32:40.696415+00:00
query_000013,ChefElite furniture review,Home & Kitchen,Looking for reviews of ChefElite Furniture,2026-02-04T23:30:34.441329+00:00
query_000014,affordable camping gear for everyday use,Sports & Outdoors,I need budget-friendly Camping Gear from Sports & Outdoors,2026-01-23T12:08:57.434466+00:00
query_000015,AdventureZone Board Games,Toys & Games,Exact search for Board Games by AdventureZone in Toys & Games,2026-02-06T17:56:06.240136+00:00
query_000016,ReadersGate Fiction,Books,Exact search for Fiction by ReadersGate in Books,2026-02-19T18:21:13.664035+00:00
query_000017,CleanShield Vitamins,Health & Household,Exact search for Vitamins by CleanShield in Health & Household,2026-01-08T07:16:57.282119+00:00
query_000018,best spices,Grocery & Gourmet Food,Browse top-rated Spices in Grocery & Gourmet Food,2026-03-10T13:25:30.989077+00:00
query_000019,best skincare,Beauty & Personal Care,Browse top-rated Skincare in Beauty & Personal Care,2026-01-28T14:36:15.613569+00:00
query_000020,affordable puzzles for everyday use,Toys & Games,I need budget-friendly Puzzles from Toys & Games,2026-02-01T00:58:45.567655+00:00
query_000021,best baking,Grocery & Gourmet Food,Browse top-rated Baking in Grocery & Gourmet Food,2026-01-14T23:56:42.694090+00:00
query_000022,affordable activewear for everyday use,Clothing,I need budget-friendly Activewear from Clothing,2026-02-02T08:29:41.342454+00:00
query_000023,best tires,Automotive,Browse top-rated Tires in Automotive,2026-01-08T01:22:03.857457+00:00
query_000024,NovaDigital smartphones review,Electronics,Looking for reviews of NovaDigital Smartphones,2026-02-26T02:18:21.288473+00:00
query_000025,OrganicRoots beverages review,Grocery & Gourmet Food,Looking for reviews of OrganicRoots Beverages,2026-02-05T19:17:07.094923+00:00
query_000026,best fitness equipment,Sports & Outdoors,Browse top-rated Fitness Equipment in Sports & Outdoors,2026-01-29T08:37:27.645716+00:00
query_000027,best air quality,Health & Household,Browse top-rated Air Quality in Health & Household,2026-03-28T22:14:58.728683+00:00
query_000028,best puzzles,Toys & Games,Browse top-rated Puzzles in Toys & Games,2026-03-31T19:07:58.380689+00:00
query_000029,FunCraft Puzzles,Toys & Games,Exact search for Puzzles by FunCraft in Toys & Games,2026-02-17T03:35:36.467229+00:00
query_000030,QuantumTech Laptops,Electronics,Exact search for Laptops by QuantumTech in Electronics,2026-01-13T20:50:42.144152+00:00
query_000031,CozyNest Furniture,Home & Kitchen,Exact search for Furniture by CozyNest in Home & Kitchen,2026-01-29T08:56:55.867975+00:00
query_000032,HomeCraft Cookware,Home & Kitchen,Exact search for Cookware by HomeCraft in Home & Kitchen,2026-01-31T10:19:04.040598+00:00
query_000033,best organic,Grocery & Gourmet Food,Browse top-rated Organic in Grocery & Gourmet Food,2026-03-12T17:50:07.780654+00:00
query_000034,PureBite Organic,Grocery & Gourmet Food,Exact search for Organic by PureBite in Grocery & Gourmet Food,2026-01-29T23:31:05.278606+00:00
query_000035,NatureScent Fragrance,Beauty & Personal Care,Exact search for Fragrance by NatureScent in Beauty & Personal Care,2026-01-04T19:49:10.410697+00:00
query_000036,SilkTouch makeup review,Beauty & Personal Care,Looking for reviews of SilkTouch Makeup,2026-01-18T06:56:20.285193+00:00
query_000037,MechPro Tires,Automotive,Exact search for Tires by MechPro in Automotive,2026-03-17T08:34:47.463014+00:00
query_000038,HomeCraft bedding review,Home & Kitchen,Looking for reviews of HomeCraft Bedding,2026-03-04T14:17:52.977696+00:00
query_000039,FitGear Pro Fitness Equipment,Sports & Outdoors,Exact search for Fitness Equipment by FitGear Pro in Sports & Outdoors,2026-02-11T10:15:22.547817+00:00
query_000040,AutoGuard car accessories review,Automotive,Looking for reviews of AutoGuard Car Accessories,2026-01-06T02:49:17.012451+00:00
query_000041,best hair care,Beauty & Personal Care,Browse top-rated Hair Care in Beauty & Personal Care,2026-03-24T08:55:28.518940+00:00
query_000042,PlayWorld board games review,Toys & Games,Looking for reviews of PlayWorld Board Games,2026-03-23T15:11:46.653706+00:00
query_000043,CleanShield paper goods review,Health & Household,Looking for reviews of CleanShield Paper Goods,2026-01-30T18:20:06.887831+00:00
query_000044,BrainBoost Educational,Toys & Games,Exact search for Educational by BrainBoost in Toys & Games,2026-03-15T16:55:22.471555+00:00
query_000045,affordable women's dresses for everyday use,Clothing,I need budget-friendly Women's Dresses from Clothing,2026-01-02T17:35:27.152406+00:00
query_000046,MechPro tools & equipment review,Automotive,Looking for reviews of MechPro Tools & Equipment,2026-02-16T15:54:04.150581+00:00
query_000047,FarmFresh baking review,Grocery & Gourmet Food,Looking for reviews of FarmFresh Baking,2026-02-05T22:59:28.425834+00:00
query_000048,SilkTouch Skincare,Beauty & Personal Care,Exact search for Skincare by SilkTouch in Beauty & Personal Care,2026-02-08T17:29:32.529835+00:00
query_000049,RadianceCo Skincare,Beauty & Personal Care,Exact search for Skincare by RadianceCo in Beauty & Personal Care,2026-02-17T16:15:12.696978+00:00
query_000050,affordable headphones for everyday use,Electronics,I need budget-friendly Headphones from Electronics,2026-02-06T14:51:27.510649+00:00
query_000051,best smartphones,Electronics,Browse top-rated Smartphones in Electronics,2026-01-31T23:48:34.453967+00:00
query_000052,AtlasBooks Non-Fiction,Books,Exact search for Non-Fiction by AtlasBooks in Books,2026-02-22T16:24:01.696603+00:00
query_000053,ModernSpace Storage,Home & Kitchen,Exact search for Storage by ModernSpace in Home & Kitchen,2026-01-14T10:16:12.047449+00:00
query_000054,affordable spices for everyday use,Grocery & Gourmet Food,I need budget-friendly Spices from Grocery & Gourmet Food,2026-02-25T22:22:19.321217+00:00
query_000055,PlayWorld Puzzles,Toys & Games,Exact search for Puzzles by PlayWorld in Toys & Games,2026-01-26T18:45:09.584967+00:00
query_000056,affordable wearables for everyday use,Electronics,I need budget-friendly Wearables from Electronics,2026-03-31T03:07:13.139682+00:00
query_000057,affordable cameras for everyday use,Electronics,I need budget-friendly Cameras from Electronics,2026-03-18T15:50:44.863313+00:00
query_000058,best men's shirts,Clothing,Browse top-rated Men's Shirts in Clothing,2026-03-16T20:29:15.906320+00:00
query_000059,affordable action figures for everyday use,Toys & Games,I need budget-friendly Action Figures from Toys & Games,2026-01-05T09:12:56.966192+00:00
query_000060,RoadMaster Tools & Equipment,Automotive,Exact search for Tools & Equipment by RoadMaster in Automotive,2026-01-19T20:14:19.646099+00:00
query_000061,affordable yoga for everyday use,Sports & Outdoors,I need budget-friendly Yoga from Sports & Outdoors,2026-02-07T18:37:38.640845+00:00
query_000062,best lighting,Home & Kitchen,Browse top-rated Lighting in Home & Kitchen,2026-03-06T00:03:40.344412+00:00
query_000063,CleanShield Cleaning,Health & Household,Exact search for Cleaning by CleanShield in Health & Household,2026-01-20T17:09:46.789763+00:00
query_000064,KidGenius puzzles review,Toys & Games,Looking for reviews of KidGenius Puzzles,2026-03-21T03:25:18.541606+00:00
query_000065,OrganicRoots Spices,Grocery & Gourmet Food,Exact search for Spices by OrganicRoots in Grocery & Gourmet Food,2026-03-08T14:57:47.326609+00:00
query_000066,affordable tools & equipment for everyday use,Automotive,I need budget-friendly Tools & Equipment from Automotive,2026-03-14T23:26:59.382525+00:00
query_000067,best comics,Books,Browse top-rated Comics in Books,2026-01-01T15:43:39.290003+00:00
query_000068,affordable baking for everyday use,Grocery & Gourmet Food,I need budget-friendly Baking from Grocery & Gourmet Food,2026-02-28T13:17:25.913644+00:00
query_000069,EcoFresh air quality review,Health & Household,Looking for reviews of EcoFresh Air Quality,2026-03-18T04:02:41.760601+00:00
query_000070,ZenYoga Swimming,Sports & Outdoors,Exact search for Swimming by ZenYoga in Sports & Outdoors,2026-03-08T13:38:59.184991+00:00
query_000071,best wearables,Electronics,Browse top-rated Wearables in Electronics,2026-02-08T23:32:44.858084+00:00
query_000072,best action figures,Toys & Games,Browse top-rated Action Figures in Toys & Games,2026-02-11T17:22:49.266833+00:00
query_000073,PenPoint Press children's books review,Books,Looking for reviews of PenPoint Press Children's Books,2026-01-05T23:48:18.163242+00:00
query_000074,affordable non-fiction for everyday use,Books,I need budget-friendly Non-Fiction from Books,2026-02-07T19:48:09.781183+00:00
query_000075,affordable action figures for everyday use,Toys & Games,I need budget-friendly Action Figures from Toys & Games,2026-02-28T21:51:15.805854+00:00
query_000076,affordable tools & equipment for everyday use,Automotive,I need budget-friendly Tools & Equipment from Automotive,2026-01-08T20:03:39.365327+00:00
query_000077,best vitamins,Health & Household,Browse top-rated Vitamins in Health & Household,2026-01-21T01:19:39.116716+00:00
query_000078,best fitness equipment,Sports & Outdoors,Browse top-rated Fitness Equipment in Sports & Outdoors,2026-03-14T20:53:30.874961+00:00
query_000079,FarmFresh Spices,Grocery & Gourmet Food,Exact search for Spices by FarmFresh in Grocery & Gourmet Food,2026-01-10T01:13:10.723529+00:00
query_000080,SilkTouch Fragrance,Beauty & Personal Care,Exact search for Fragrance by SilkTouch in Beauty & Personal Care,2026-03-15T13:06:48.611394+00:00
query_000081,best jackets,Clothing,Browse top-rated Jackets in Clothing,2026-01-11T16:02:56.482270+00:00
query_000082,BrainBoost action figures review,Toys & Games,Looking for reviews of BrainBoost Action Figures,2026-03-06T17:31:04.234154+00:00
query_000083,EleganceWear jackets review,Clothing,Looking for reviews of EleganceWear Jackets,2026-01-18T08:42:12.025121+00:00
query_000084,StoryWeave Textbooks,Books,Exact search for Textbooks by StoryWeave in Books,2026-03-25T05:39:04.806561+00:00
query_000085,best furniture,Home & Kitchen,Browse top-rated Furniture in Home & Kitchen,2026-02-28T03:54:10.071587+00:00
query_000086,affordable lighting for everyday use,Home & Kitchen,I need budget-friendly Lighting from Home & Kitchen,2026-02-10T03:45:08.938800+00:00
query_000087,best men's shirts,Clothing,Browse top-rated Men's Shirts in Clothing,2026-01-15T05:06:59.447963+00:00
query_000088,best fragrance,Beauty & Personal Care,Browse top-rated Fragrance in Beauty & Personal Care,2026-01-10T07:37:09.143385+00:00
query_000089,ApexVision Smartphones,Electronics,Exact search for Smartphones by ApexVision in Electronics,2026-01-10T13:02:47.682432+00:00
query_000090,best first aid,Health & Household,Browse top-rated First Aid in Health & Household,2026-01-16T04:05:45.603856+00:00
query_000091,affordable educational for everyday use,Toys & Games,I need budget-friendly Educational from Toys & Games,2026-01-16T08:43:59.710247+00:00
query_000092,WellnessPlus Vitamins,Health & Household,Exact search for Vitamins by WellnessPlus in Health & Household,2026-02-17T13:40:04.485971+00:00
query_000093,BrightMinds Children's Books,Books,Exact search for Children's Books by BrightMinds in Books,2026-03-14T20:14:26.333522+00:00
query_000094,affordable board games for everyday use,Toys & Games,I need budget-friendly Board Games from Toys & Games,2026-03-28T16:04:13.537635+00:00
query_000095,best fitness equipment,Sports & Outdoors,Browse top-rated Fitness Equipment in Sports & Outdoors,2026-01-29T23:26:38.105265+00:00
query_000096,affordable board games for everyday use,Toys & Games,I need budget-friendly Board Games from Toys & Games,2026-03-02T21:21:49.281277+00:00
query_000097,VitaLife paper goods review,Health & Household,Looking for reviews of VitaLife Paper Goods,2026-02-03T10:16:12.492368+00:00
query_000098,affordable men's shirts for everyday use,Clothing,I need budget-friendly Men's Shirts from Clothing,2026-02-16T11:30:33.458580+00:00
query_000099,affordable men's shirts for everyday use,Clothing,I need budget-friendly Men's Shirts from Clothing,2026-03-30T08:56:09.083193+00:00
query_000100,best cycling,Sports & Outdoors,Browse top-rated Cycling in Sports & Outdoors,2026-01-02T14:00:50.428625+00:00
query_000101,best jackets,Clothing,Browse top-rated Jackets in Clothing,2026-01-29T06:11:04.686856+00:00
query_000102,CoreWave Wearables,Electronics,Exact search for Wearables by CoreWave in Electronics,2026-01-27T15:34:42.645081+00:00
query_000103,best furniture,Home & Kitchen,Browse top-rated Furniture in Home & Kitchen,2026-02-25T00:44:48.873537+00:00
query_000104,affordable storage for everyday use,Home & Kitchen,I need budget-friendly Storage from Home & Kitchen,2026-02-08T21:53:59.966756+00:00
query_000105,best air quality,Health & Household,Browse top-rated Air Quality in Health & Household,2026-03-03T10:23:14.358759+00:00
query_000106,affordable electronics for everyday use,Automotive,I need budget-friendly Electronics from Automotive,2026-02-25T21:07:35.690500+00:00
query_000107,BrightHome furniture review,Home & Kitchen,Looking for reviews of BrightHome Furniture,2026-01-04T04:27:36.598266+00:00
query_000108,affordable cleaning for everyday use,Health & Household,I need budget-friendly Cleaning from Health & Household,2026-02-02T20:06:07.893271+00:00
query_000109,best women's dresses,Clothing,Browse top-rated Women's Dresses in Clothing,2026-01-17T06:25:43.412585+00:00
query_000110,QuantumTech smartphones review,Electronics,Looking for reviews of QuantumTech Smartphones,2026-03-17T18:08:27.635329+00:00
query_000111,best cleaning,Health & Household,Browse top-rated Cleaning in Health & Household,2026-02-28T03:48:53.600486+00:00
query_000112,affordable wearables for everyday use,Electronics,I need budget-friendly Wearables from Electronics,2026-03-08T09:12:00.730119+00:00
query_000113,best comics,Books,Browse top-rated Comics in Books,2026-03-03T20:51:43.421719+00:00
query_000114,RadianceCo bath & body review,Beauty & Personal Care,Looking for reviews of RadianceCo Bath & Body,2026-03-23T06:00:01.397707+00:00
query_000115,FunCraft Outdoor Toys,Toys & Games,Exact search for Outdoor Toys by FunCraft in Toys & Games,2026-01-04T06:21:33.710585+00:00
query_000116,NovaDigital headphones review,Electronics,Looking for reviews of NovaDigital Headphones,2026-03-14T13:42:39.586521+00:00
query_000117,best car accessories,Automotive,Browse top-rated Car Accessories in Automotive,2026-01-28T10:50:34.649812+00:00
query_000118,VitaLife cleaning review,Health & Household,Looking for reviews of VitaLife Cleaning,2026-01-03T00:30:04.690619+00:00
query_000119,PureBloom Bath & Body,Beauty & Personal Care,Exact search for Bath & Body by PureBloom in Beauty & Personal Care,2026-02-02T18:45:52.451086+00:00
query_000120,affordable puzzles for everyday use,Toys & Games,I need budget-friendly Puzzles from Toys & Games,2026-03-02T16:42:21.113647+00:00
query_000121,ApexVision wearables review,Electronics,Looking for reviews of ApexVision Wearables,2026-03-30T06:04:00.311015+00:00
query_000122,best swimming,Sports & Outdoors,Browse top-rated Swimming in Sports & Outdoors,2026-02-24T08:47:34.349204+00:00
query_000123,TrailBlaze Women's Dresses,Clothing,Exact search for Women's Dresses by TrailBlaze in Clothing,2026-02-08T10:08:21.166799+00:00
query_000124,best electronics,Automotive,Browse top-rated Electronics in Automotive,2026-01-02T23:45:48.502717+00:00
query_000125,PenPoint Press fiction review,Books,Looking for reviews of PenPoint Press Fiction,2026-01-03T11:12:36.461188+00:00
query_000126,PlayWorld Outdoor Toys,Toys & Games,Exact search for Outdoor Toys by PlayWorld in Toys & Games,2026-01-10T02:34:15.610869+00:00
query_000127,WellnessPlus vitamins review,Health & Household,Looking for reviews of WellnessPlus Vitamins,2026-03-12T05:11:16.691644+00:00
query_000128,RoadMaster Electronics,Automotive,Exact search for Electronics by RoadMaster in Automotive,2026-01-17T08:06:46.983894+00:00
query_000129,AutoGuard tools & equipment review,Automotive,Looking for reviews of AutoGuard Tools & Equipment,2026-03-04T07:10:34.609593+00:00
query_000130,ChefElite storage review,Home & Kitchen,Looking for reviews of ChefElite Storage,2026-01-12T22:06:33.746059+00:00
query_000131,best board games,Toys & Games,Browse top-rated Board Games in Toys & Games,2026-01-13T20:21:40.664464+00:00
query_000132,KidGenius Action Figures,Toys & Games,Exact search for Action Figures by KidGenius in Toys & Games,2026-01-19T13:51:18.161621+00:00
query_000133,affordable headphones for everyday use,Electronics,I need budget-friendly Headphones from Electronics,2026-03-21T18:06:34.885793+00:00
query_000134,PureBite Snacks,Grocery & Gourmet Food,Exact search for Snacks by PureBite in Grocery & Gourmet Food,2026-01-28T15:35:13.153466+00:00
query_000135,best comics,Books,Browse top-rated Comics in Books,2026-01-13T17:15:44.823170+00:00
query_000136,best car accessories,Automotive,Browse top-rated Car Accessories in Automotive,2026-02-26T20:07:01.930272+00:00
query_000137,PenPoint Press Comics,Books,Exact search for Comics by PenPoint Press in Books,2026-02-13T22:55:37.501049+00:00
query_000138,RoadMaster Oils & Fluids,Automotive,Exact search for Oils & Fluids by RoadMaster in Automotive,2026-03-28T17:59:17.903723+00:00
query_000139,AutoGuard tires review,Automotive,Looking for reviews of AutoGuard Tires,2026-01-23T18:49:42.073914+00:00
query_000140,best jackets,Clothing,Browse top-rated Jackets in Clothing,2026-02-05T06:57:37.833645+00:00
query_000141,UrbanStitch jackets review,Clothing,Looking for reviews of UrbanStitch Jackets,2026-01-28T01:29:20.296805+00:00
query_000142,best fitness equipment,Sports & Outdoors,Browse top-rated Fitness Equipment in Sports & Outdoors,2026-03-28T06:45:58.840894+00:00
query_000143,affordable air quality for everyday use,Health & Household,I need budget-friendly Air Quality from Health & Household,2026-02-07T10:43:28.887261+00:00
query_000144,QuantumTech wearables review,Electronics,Looking for reviews of QuantumTech Wearables,2026-03-31T00:41:01.580014+00:00
query_000145,best makeup,Beauty & Personal Care,Browse top-rated Makeup in Beauty & Personal Care,2026-03-02T17:26:16.507305+00:00
query_000146,best paper goods,Health & Household,Browse top-rated Paper Goods in Health & Household,2026-02-18T21:55:01.610626+00:00
query_000147,affordable educational for everyday use,Toys & Games,I need budget-friendly Educational from Toys & Games,2026-01-12T08:50:33.202671+00:00
query_000148,RoadMaster tires review,Automotive,Looking for reviews of RoadMaster Tires,2026-01-26T03:48:53.631396+00:00
query_000149,best snacks,Grocery & Gourmet Food,Browse top-rated Snacks in Grocery & Gourmet Food,2026-03-14T02:53:51.987185+00:00
query_000150,affordable hair care for everyday use,Beauty & Personal Care,I need budget-friendly Hair Care from Beauty & Personal Care,2026-03-08T09:48:37.656435+00:00
query_000151,affordable outdoor toys for everyday use,Toys & Games,I need budget-friendly Outdoor Toys from Toys & Games,2026-01-10T12:00:09.710237+00:00
query_000152,FarmFresh spices review,Grocery & Gourmet Food,Looking for reviews of FarmFresh Spices,2026-01-23T23:51:43.269257+00:00
query_000153,affordable vitamins for everyday use,Health & Household,I need budget-friendly Vitamins from Health & Household,2026-01-11T03:40:02.442586+00:00
query_000154,affordable baking for everyday use,Grocery & Gourmet Food,I need budget-friendly Baking from Grocery & Gourmet Food,2026-02-05T04:20:50.986210+00:00
query_000155,BrightMinds Fiction,Books,Exact search for Fiction by BrightMinds in Books,2026-02-20T09:06:26.478499+00:00
query_000156,best men's shirts,Clothing,Browse top-rated Men's Shirts in Clothing,2026-01-21T05:23:21.149257+00:00
query_000157,best fiction,Books,Browse top-rated Fiction in Books,2026-01-08T09:51:01.956546+00:00
query_000158,EcoFresh cleaning review,Health & Household,Looking for reviews of EcoFresh Cleaning,2026-01-30T02:15:59.367448+00:00
query_000159,CozyNest lighting review,Home & Kitchen,Looking for reviews of CozyNest Lighting,2026-03-22T08:28:30.772585+00:00
query_000160,affordable furniture for everyday use,Home & Kitchen,I need budget-friendly Furniture from Home & Kitchen,2026-01-08T06:12:17.605958+00:00
query_000161,GlowLab Hair Care,Beauty & Personal Care,Exact search for Hair Care by GlowLab in Beauty & Personal Care,2026-01-29T06:10:33.761099+00:00
query_000162,NeonFit Men's Shirts,Clothing,Exact search for Men's Shirts by NeonFit in Clothing,2026-02-14T20:27:32.790299+00:00
query_000163,best bath & body,Beauty & Personal Care,Browse top-rated Bath & Body in Beauty & Personal Care,2026-02-01T08:40:44.114625+00:00
query_000164,ApexVision headphones review,Electronics,Looking for reviews of ApexVision Headphones,2026-01-12T15:35:24.689024+00:00
query_000165,FunCraft outdoor toys review,Toys & Games,Looking for reviews of FunCraft Outdoor Toys,2026-01-04T10:49:58.778266+00:00
query_000166,affordable educational for everyday use,Toys & Games,I need budget-friendly Educational from Toys & Games,2026-03-15T01:08:25.126208+00:00
query_000167,affordable smartphones for everyday use,Electronics,I need budget-friendly Smartphones from Electronics,2026-02-03T20:21:53.825413+00:00
query_000168,ApexVision laptops review,Electronics,Looking for reviews of ApexVision Laptops,2026-01-20T22:49:12.828426+00:00
query_000169,affordable snacks for everyday use,Grocery & Gourmet Food,I need budget-friendly Snacks from Grocery & Gourmet Food,2026-02-25T04:41:56.327200+00:00
query_000170,best first aid,Health & Household,Browse top-rated First Aid in Health & Household,2026-02-18T10:15:41.568215+00:00
query_000171,best vitamins,Health & Household,Browse top-rated Vitamins in Health & Household,2026-03-01T20:02:27.452646+00:00
query_000172,best wearables,Electronics,Browse top-rated Wearables in Electronics,2026-03-25T01:58:47.833777+00:00
query_000173,TrailBlaze Jackets,Clothing,Exact search for Jackets by TrailBlaze in Clothing,2026-03-05T22:39:58.339514+00:00
query_000174,best shoes,Clothing,Browse top-rated Shoes in Clothing,2026-03-26T02:45:14.618724+00:00
query_000175,best cookware,Home & Kitchen,Browse top-rated Cookware in Home & Kitchen,2026-02-21T15:12:49.570973+00:00
query_000176,RadianceCo fragrance review,Beauty & Personal Care,Looking for reviews of RadianceCo Fragrance,2026-01-28T10:07:27.135974+00:00
query_000177,affordable cameras for everyday use,Electronics,I need budget-friendly Cameras from Electronics,2026-02-20T18:44:45.018759+00:00
query_000178,CoreWave cameras review,Electronics,Looking for reviews of CoreWave Cameras,2026-02-15T13:27:12.516286+00:00
query_000179,UrbanStitch Activewear,Clothing,Exact search for Activewear by UrbanStitch in Clothing,2026-01-22T09:28:26.265667+00:00
query_000180,CleanShield cleaning review,Health & Household,Looking for reviews of CleanShield Cleaning,2026-02-03T18:45:16.581937+00:00
query_000181,TurboEdge Tires,Automotive,Exact search for Tires by TurboEdge in Automotive,2026-01-06T06:34:39.390892+00:00
query_000182,PureBite spices review,Grocery & Gourmet Food,Looking for reviews of PureBite Spices,2026-03-21T11:48:10.418226+00:00
query_000183,DriveSafe tools & equipment review,Automotive,Looking for reviews of DriveSafe Tools & Equipment,2026-03-11T02:53:49.767617+00:00
query_000184,best spices,Grocery & Gourmet Food,Browse top-rated Spices in Grocery & Gourmet Food,2026-03-21T22:03:30.963927+00:00
query_000185,PeakAscent Fitness Equipment,Sports & Outdoors,Exact search for Fitness Equipment by PeakAscent in Sports & Outdoors,2026-02-27T12:26:06.152600+00:00
query_000186,FunCraft board games review,Toys & Games,Looking for reviews of FunCraft Board Games,2026-03-15T02:12:06.794278+00:00
query_000187,affordable swimming for everyday use,Sports & Outdoors,I need budget-friendly Swimming from Sports & Outdoors,2026-03-29T18:02:09.126736+00:00
query_000188,CoreWave Smartphones,Electronics,Exact search for Smartphones by CoreWave in Electronics,2026-03-02T22:59:13.516104+00:00
query_000189,best shoes,Clothing,Browse top-rated Shoes in Clothing,2026-03-01T20:48:38.736351+00:00
query_000190,AtlasBooks Comics,Books,Exact search for Comics by AtlasBooks in Books,2026-02-09T17:34:10.898914+00:00
query_000191,PenPoint Press Non-Fiction,Books,Exact search for Non-Fiction by PenPoint Press in Books,2026-03-28T02:26:44.572234+00:00
query_000192,ReadersGate children's books review,Books,Looking for reviews of ReadersGate Children's Books,2026-03-28T11:58:42.299603+00:00
query_000193,UrbanStitch Women's Dresses,Clothing,Exact search for Women's Dresses by UrbanStitch in Clothing,2026-01-09T21:40:20.158914+00:00
query_000194,best lighting,Home & Kitchen,Browse top-rated Lighting in Home & Kitchen,2026-01-25T01:43:12.579816+00:00
query_000195,best textbooks,Books,Browse top-rated Textbooks in Books,2026-01-17T23:28:22.204275+00:00
query_000196,affordable skincare for everyday use,Beauty & Personal Care,I need budget-friendly Skincare from Beauty & Personal Care,2026-03-26T23:00:31.950605+00:00
query_000197,PureCare first aid review,Health & Household,Looking for reviews of PureCare First Aid,2026-03-07T03:20:55.021650+00:00
query_000198,PureBite Spices,Grocery & Gourmet Food,Exact search for Spices by PureBite in Grocery & Gourmet Food,2026-01-06T19:58:06.091098+00:00
query_000199,EcoFresh Paper Goods,Health & Household,Exact search for Paper Goods by EcoFresh in Health & Household,2026-02-03T18:08:59.062554+00:00
query_000200,affordable children's books for everyday use,Books,I need budget-friendly Children's Books from Books,2026-02-18T18:23:44.161172+00:00
